ABIRATERONE	2174974
PYRIMETHAMINE	3004889;3064578
QUETIAPINE	4974058;4974041;4973952;4973969;4974029;4974035
QUINAGOLIDE	3386514;3386477;3386508
QUINAPRIL	3869891;3875302;3639168;3724394;3317223;3804911;3364079;3768747;3880289;3647222;3729641;3729635;3780033;3317252;5698749;3781699;3875348;3909461;3317298;3768782;3639145;3909478;3317275;3639151;3763359;3880378;3763342;4971048;3364748
QUINIDINE	3413501;3427213;3427242
QUININE	3427213;3413501;3427242;3056171;3049484;3813778;3049478;3636661;3088745
RABEPRAZOLE	3551456;2185021;3567428;4900864;4994115;2183654;4994144;2183789;2183855;2185251;4900344;4994026;2184808;3551479;4993989;2183677;2185446;4949474;2185481;4900309;2183832;2185216;3567440;4900812;4969985;2199477;4970209;4996841;2199282;4970161;4996887;4997042;5816255;4970020;2199595;2199230;5816427;4997088;2199365
RACECADOTRIL	3820034;4921599;3349677;3521142;3896161;3521113
RALTEGRAVIR	3830848
RAMIPRIL	3727145;3768345;3733660;3683287;3768339;3700809;3733720;3726915;3700726;3700086;3733447;3731075;3768322;3888256;3905664;3730087;3873177;2215928;3888730;3716029;3863032;3734062;3873160;3726476;3726269;3958502;3697846;3787408;3957804;3670391;3735423;3707409;3707496;3727576;3730064;3740128;3731098;3716093;2215986;2216000;3700531;3904535;3922220;3727688;3712379;3707585;3726364;5683268;3905836;3700620;3957566;3739970;3734458;3905859;3740370;3740134;3739958;3644011;3670480;3862788;3903381;3716466;3683465;3733950;3863026;3735802;3733849;3730058;3731069;3862794;3733855;3733944;3730070;3902884;3683206;3888227;3787377;3733565;3957537;3726140;3780777;3957655;3787383;3727240;3888575;3730213;3957632;3733298;3727464;3904512;3734286;3725376;3727027;3643974;3735475;3726045;3670445;3615386;3690850;3739964;3716207;3787414;3690867;3690844;3888753;3696290;3712362;3740298;3785622;3716348;3740111;3731081;3785639;3683376;3707326;3726588;3725488;3644057;3888397;3716035;3726683;3768405;3632953;5666904;3904334;3712385;3735452;3740453;3958525;3904357;3957715;3903004;3726803;3735498;3690838
RANITIDINE	3602886;3434093;3680774;3436956;3621412;3602900;3621435;3623463;3424901;3434408;3609078;3466006;3540926;3496993;3623492;3520007;3603029;3766731;3913652;3320863;3263728;3602863;3611603;3611595;3434124;3641314;3287752;3540932;3609032;3693268;3602892;3320857;3474796;3498584;3913540;3766725;3439297;3322879;3268275;3434348;3679699;3424982;3434130;3251435;3602946
RASAGILINE	3657835
REGLISSE	3013144;3013138
REPAGLINIDE	3983799;3983859;3462853;3463143;3462847;4995557;3716644;4982276;3996371;3484027;3996738;3983687;3997695;4927840;4995451;3997790;4987598;3983902;3997672;3716650;4987687;3484033;3983718;3983747;3996402;3462824;4995623;4995362;4928101;4928012;3716667;3997092;4995698;3996537;3996572;3983629;3484056;4995497;3983836;4985671;4995511;4995385;4995439;4987440;3996974;4995652;3996997;4927952;3996856;3997548;3997815;4995712;4927917;4987351;3996709;3997117;4987256;4928041;3463166;3996879;3997560;3463172;4987055;4987144
RESERPINE	3103746
RETIGABINE	4171678;4171632;4171655
RHUBARBE	3197813;3369852
RIBAVIRINE	3620039;3615914;3519719;2169571;2160417;3732778;3999027;4168452;4158844;5824846;3519725;3615908;4168216;4158838;4168274;3777976;4168311;2169565;4168446;3620045;3777953;4168239;3519731;3658668;3999010;4168191;4168280;3999056;5824817;3748472;4158821;2160423;4168475;4168156;4158815
RICIN	3437246
RICINUS COMMUNIS	3437246
RIFABUTINE	3360696
RIFAMPICINE	3091629;3091635;3091500;3295409;3299353;3091517;3118676;3692369
RILMENIDINE	3722573;3780808;3730041;3815903;3896089;3750055;3750090;3294692;3749945;3755851;4993067;3815889;3750003;3815837;4993392;3750078;3608972;3750032;3974027;3755874;3608937;3815843;3974056;3294746;4993044;4993363;3749980;3712534
RILPIVIRINE	2194729;2194735
RISPERIDONE	3828202;4151428;3833491;3900974;3624942;3820749;3439848;3439802;3828231;3819551;3775150;3439819;3790215;3828165;3914717;3817859;3816073;3816156;3820755;3933904;3828219;3945741;3637382;3817753;3821766;3389501;3768109;3820732;3816015;3816127;3981926;3681578;3820726;3914812;3819539;3828188;4929046;3820672;3933985;4917534;3833522;3819545;3945770;3775954;3918075;3821660;3918052;3817842;4917600;3910292;3774765;3817865;3776043;3637436;3820666;3665651;3637471;3665680;3815978;3817871;3900595;3775078;3817894;3910323;3821826;3816038;3442738;3624936;3768196;3855788;3681532;3855819;3918023;3833545;3817782;3666366;3945847;3624913;3820689;3790184;3817888;3798903;4929106;3910286;3827970;4151500;3389487;3914769;4928934;3790238;3822607;3855771;3775842;3827987;3817807;3768144;3828018;3901063;3822406
RITONAVIR	3760993;3844201;3761001;4169670;3566819;3417864;4940964;3440751;3777605;3535173
RIVAROXABAN	3883827;5814173;2192305;3883810;5814167;2192297;2192251;3883833;2192274;2192268
RIVASTIGMINE	3978723;3819491;3823570;2194505;2194474;4919473;3471817;2218950;3471792;4919786;3475850;3474721;3474715;3474744;2194445;5814670;3979059;3634892;3819479;4919639;2194540;4919651;3471846;3475873;4919800;2800207;4919450;3978901;3474690;3471823;4919912;3474684;3471763;3979154;3475896;3471869;3818391;3471786;3471852
RIZATRIPTAN	2698565;3479374;3479316;3479322;3479434;3479368;3479351;3479411;3479440
ROPINIROLE	3962432;3872410;3930389;3872611;3918402;3930656;3889296;3889505;4177149;4930658;3644502;3962544;3930567;3928530;4163785;4164000;3872427;3792148;3962751;4177273;4166134;3880214;3792154;4930730;3930550;3413932;3930395;3792237;3928694;3872373;3879990;3880177;3918394;3792214;4163779;4930575;3962745;3930484;3918448;3644494;2802011;3644525;3880183;3889793;3930248;2735496;4163911;3962538;3962656;3872396;3644548;3872404;4166097;4166051;3872367;3880237
ROSUVASTATINE	2800035;3698538;3698521;3698550;3916900;3916969;3916946;3620708;3916975;3620743;3916998
ROTAVIRUS	3762236;3902016;3723259
ROTIGOTINE	3772111;3772097;3772134;3772157;3732904;3732873;3732850
ROXITHROMYCINE	3781297;3781305;3612896;3612927;3458627;3617066;3613163;3290033;3613074;3617959;3616546;3612560;5641413;3621760;3617942;3617089;3376013;3609150;3437329;3617072;3621777;3307348;3661802;3612577;3621808;3612620;3621783;5641436;3781311;3781328;3307354;3661794;3612637;3437335;3290381;3395364;3376131;3612614;3612643;3617020;3609144;3617037;3613157
RUFINAMIDE	3817612;3817629;3828461
RUPATADINE	3841622;3828840
SALBUTAMOL	3406033;3299293;3299465;3532111;3658438;3382568;3895368;3443873;3657953;3299324;3641219;3657806;3656646;3658013;3185431;3302003;3532074;3895411;3584266;3506473;3302977;3117961;3641202;3465389
SALMETEROL	3547354;3547348;3545970;3345780;3565866;3545935;3565889;3391946;3565872
SAQUINAVIR	3659403;3420843
SAXAGLIPTINE	2200803;5816924;3973588;2200789
SCOPOLAMINE	3515928;3476329;3284943
SECNIDAZOLE	3337071;3336982
SELEGILINE	3523170;3436330;3983598;3507573
SENE	3192069;3317341;3419053;3516365;3399333;3516371;3448830;3646286;4159795;3410951;3239776;3427437;3199309;3068033
SENE DE L'INDE	3409385;3365564
SERTRALINE	3694428;3975400;3802705;3698165;3697929;3712103;3697556;3998513;3698053;3701660;3732465;3745634;3698194;3975297;3731939;3732436;3698018;3556181;3556206;3715656;3403419;3698136;3732057;3699532;3731974;3422322;3715751;3694552;3712037;3732494;3698225;3766748
SEVELAMER	3572659;3967027;3967079
SILDENAFIL	3484323;3827585;3484317;3484263;3484292;3484234;3484228;3484286;3827591;3484346
SILODOSINE	3749342;3749388;3749075;3749425
SIMVASTATINE	5651943;4911098;3704925;3678458;3883649;3597903;3670209;3739154;3844164;3740714;3688557;3719861;3678659;3717862;3670971;3704960;3736670;3704807;3670215;3696137;3883572;3741398;5705946;3905492;3676666;3719849;3758648;3688617;3845376;3766872;4910957;3719795;3713120;3670304;3805537;3886553;3946812;3855506;3805566;3715490;3735038;3678464;3909567;3883520;3777002;4940214;3712965;3845548;3771726;3886702;3611098;3940407;3947390;3788431;3883425;3886665;3317861;4911069;3788945;3647972;3827622;4940266;4177913;3670244;3827616;3946829;3855854;3678470;3800238;3645996;3678636;3715432;3771732;3839281;3909573;3664829;3719915;3941683;3704865;3883460;3696166;3722633;3886607;3715515;3946775;3774216;3844158;3309548;3729026;5821279;3739941;3880102;3839329;3670250;3722797;3855498;4940036;3944084;3675744;4940148;3776238;3773197;3855908;3647363;3736693;3774914;3680024;3845465;3670959;4911193;3676689;4940102;4911158;3883690;3883336;3776250;3611069;3787325;3675738;3561905;3678553;3758513;3715455;3729049;3789005;4177907;3678518;3688652
SIROLIMUS	3615682;3568847;3595301;4930457
SITAGLIPTINE	3792504;3867797;3793308;3867811
SODIUM (AUROTHIOPROPANOLSULFONATE DE)	3002809
SODIUM (BICARBONATE DE)	3366635;3290808;3360213;3057526;3507372;3507343;3034867;3511882;4947653;3745605;3667590;3745611;3605896;3290814;3057503;3390591;3664491;3400102;3746177;3660381;3829377;4947682;3829070;3288622;3034844;3246747;3825451;3679096;3385176;3375367;3745628;3309525;3043085;3206736;3640970;3228502
SODIUM (CHLORURE DE)	4947682;3184414;3057940;3634076;3057897;3219963;3604885;3245400;3390591;3184408;3634082;3660381;3604916;3139052;3547058;3057845;3547087;3184383;3634047;3547029;3604891;5670024;3676519;3057839;3676502;3462959;3400102;3669548;4157394;3675112;5555665;3510954;3288622;3246747;3205866;4157388;3675141;3788164;3669413;3360213;3698805;5653474;3634107;3563583;3563146;3290808;3401834;3698811;3675135;3563181;3604922;3290814;3366635;3746177;3634113;3675129;4947653;3563152;3563560;3653286;3563198;3058804;3634142;3653263;3563577;3653292;3907723;3529273;3510948;3675158;3675046;3855179;3066376;3547124;3510925;3653398;3547176;3329870;3330896;3952356;3510977;3522928;3268743;3634053;3675023;3563175;3330867;3330873;3268737;3640970;3634136;3595821
SODIUM (CITRATE DE)	3544545;3496881;3496875
SODIUM (CITRATE DIACIDE DE)	3040939
SODIUM (DOCUSATE DE)	3054835;3269116
SODIUM (PICOSULFATE DE)	4917221;3841645;3159333
SODIUM (RICINOLEATE DE)	3160514
SOLIFENACINE	3655150;3655167
SORAFENIB	3761372
SORBITOL	3048384;3098169;3048266;3094740;3496875;3544545;3496881
SOTALOL	3601616;3548997;3616167;3549057;3601585;3487008;3680745;3674851;3601510;3579414;3836578;3181580;3616150;3549086;3601496;3579437;3836561;3680751;3897195;3222563;3674868;3486977
SPECTINOMYCINE	3161695
SPIRAMYCINE	3763477;3763460;3124168;3763454;3482815;3763419;3711026;3746059;3746088;3763431;3710831;3763425;3711581;3671350;3763483;3435974;3763448;4929201;3710593;3710765;3710914;3554727;3710647;3619361;3670528;3710854;3671462;3671427;4929158;3710392;3671396;3324708;3074772;3710819;3670534
SPIRONOLACTONE	3446624;3611649;3729061;3739272;3603383;3601438;3962774;3611626;3506013;3729598;3446630;3496817;3708596;3723354;3467052;3696485;3696491;3485073;3967949;3673805;3959884;3784812;3680834;3729581;3409764;3522408;3974406;3347520;3484748;3506065;3597872;3512545;3738315;3514768;3967783;3404583;3605784;3729670;3959890;3496958;3611632;3431806;3784746;3666627;3709182;3691074;3691134;3962797;3496616;3739125;3690258;3690229;3961510;3723348;3729055;3522383;3522377;3485050;3262574;3506059;3002152;3673780;3544284;3526843;3967808;3512551;3484961;3739131;3784723;3729078;3729606;3729693;3485481;3830765;3673828;3496591;3968191;3729687;3968216;3961527;3967820;3974240;3974398;3512539;3709124;3974257;3961473;3961674;3729204
STAVUDINE	3413375;3413352
STIRIPENTOL	3783221;3783296;3783250;3783327
STRONTIUM	3651703
SUCRALFATE	3559185;3339762;3144892;3288450;3328391;3339756
SUFENTANIL	5703396
SULFADIAZINE	3001230
SULFADOXINE	3004889
SULFAFURAZOL	3302167;3368723
SULFAMETHIZOL	3093315
SULFAMETHOXAZOLE	5544348;3219704;3130536;3491754;3001069
SULFASALAZINE	3226880
SULINDAC	3190656;3190633
SULPIRIDE	3241767;3515360;3614323;3562632;3032897;3797602;3614317;3661788;3254468;3241810;3797588;3032880;3032905
SUMATRIPTAN	3378259;3378288;3473704;3797996
SUNITINIB	3821039;3821045;3821022
TACROLIMUS	3959499;3959482;3587572;3806927;3806962;3589588;3953462;3589571;3806991
TADALAFIL	3608015;3607984;3608009;4950477;3805454;3805431
TAMOXIFENE	3463930;3317944;3647624;3205932;3286528;3614346;3679759;3679765;3582540;3463947;3614352;3410632;3666403;3583344;3410649;3395246;3395223;3328830
TAMSULOSINE	3399818;3399824;3696255;4176931;4177439;4177592;3696249;4177103;3718519;3707763;3718643;3718620;3771962;3711983;3884181;3707680;3718577;3718614;2213220;3705698;4925321;3718560
TEGAFUR	3691915;3691890;3691909
TELAPREVIR	2192498;2173785
TELITHROMYCINE	4950017;3575592;4950069;4950247
TELMISARTAN	3716696;3777752;3777717;3526369;3777657;3526398;3852732;4946576;4946493;3777700;3852703;4946582;3777634;2746927;3716710;4946524;3716727;2736604;5814049;3777663;3777640;3495858;5813966;3608558;3777723;4946530;4946470;3716673;4946547;3777692;3865522;4946553;3777628;3777611;3595502;3777686;5813943;3777746;5813972;5814026;3865516
TEMAZEPAM	3608570;3608587
TENOFOVIR DISOPROXIL	3830699;2194735;3656563;3585001
TENOXICAM	3315023;3445613
TERAZOSINE	3413027;3621369;3611460;3424290;3424315;3574552;3404376
TERBINAFINE	3735529;3807105;3905960;3659308;3786171;3349571;3802390;3807080;3802912;3749891;3638708;3973625;3973619;3740861;3836986;3349565;3711859;3802935;3780151;3711865;3659283;3705155;3939686;3997979;3804727;3780168;3638714;3905954;3804733;3705161;3740878
TERBUTALINE	3921574;3657338;4198772;3657901;3181261;3315968;2226352;3328617;3315951;3154005
TERPINE	3087852;3418036;3247008;3553998;3850495;3326771;3312438
TERPINOL	3299695;3372624;3015663;3340587;3015657;3015640;3372618
TERTATOLOL	3285121
TESTOSTERONE	3575385;3706700;3767044;3706752;3706798;3575362;3004613;3776480;3675827
TETRABENAZINE	3693191
TETRACOSACTIDE	3182869;3102586
TETRACYCLINE	3675980
TETRAZEPAM	3550362;3524873;3573067;3550379;3550385;3533168;3614300;3381936;3069535;3674874;3681986;3460179
THEODRENALINE	3085741
THEOPHYLLINE	3269151;3278753;3273141;3362844;3250163;3282186;3031768;3031780;3315359;3280141;3103539;3031774;3278799;3315371;3278782;3250157;3250186
THIOMERSAL	3675081
THYMOL	3299695;3045411;3372624;3308655;3112679;3340587;3082139;4931706;3372618
TIAGABINE	3412625;3412602;3412648
TIANEPTINE	3293391
TIAPRIDE	3174255;3331890;3461109;3174249;3659662
TIBOLONE	3543586
TICAGRELOR	4988741
TICARCILLINE	3239411;3769913
TICLOPIDINE	3782204;3549258;3766754;3571200;3220802;3525476
TIMOLOL	3224326;3220937;4913890;3576031;2231672;2217471;3576025;3373405;3912664;3409327;2231620;3373397;3706829;2231689;3404318;3404301;3224295;3717224;3353549;3770572;3757413;3412737;3537999;3404293;3766760;3546998;3964359;3757494;3546981;3480638;4196069;3354632;3353532;3182036;3538036;3354649;4950313;2209129;3553030;2231637;2180963;2227647;3766777;3409362;3766783
TINIDAZOLE	3179382
TINZAPARINE	3397280;3397268;3397239;3343309;3397311;3421699;3358216;3421707;3397251;3358245;3343321;3397297
TIPRANAVIR	3692524
TIRATRICOL	3173735
TOBRAMYCINE	3164877;3164854;3164860;4991329;3657232
TOLCAPONE	3454664
TOLTERODINE	5635660;3461612;3461670
TOPIRAMATE	3867975;3913913;3483051;3986390;3913801;3899998;4946760;3917130;3900359;3563413;3806034;3563442;3901821;3897870;3483068;3426455;3847122;3805810;3805738;3805218;3846507;3846909;3805632;3901695;3868070;3846708;3805939;3563465;3827088;3483074;3412246;3943469;3827125;3913847;3868182;3827042
TOPOTECANE	3848771;3848765
TOREMIFENE	3406205
TRAMADOL	3972347;3972620;3972519;3918566;3919005;3947680;5820251;3624764;3674880;3748414;3839909;3947881;4925054;3465403;3465432;3822837;3482761;3497633;3480236;3497627;3620677;3524844;3532298;4921458;3523603;3822978;3680975;3941737;3482784;4925120;3822702;3918678;5858584;3431427;4925108;3510807;3839861;3548678;3571306;3611448;5660020;5610186;3822292;3513059;3822553;3585691;3620683;3465455;3821298;3431462;3624818;3665154;3941789;3480816;3482809;3681070;3737451;3681934;3918767;3585739;3679423;3506734;3553165;3611454;3680917;3982624;3748992;3431456;3855245;3678719;3918589;3587715;5845222;3431479;5820280;3823104;5820274;3681242;5820268;3465478;3624712;3391188;3747946
TRANDOLAPRIL	3894386;3193904;3902559;3961065;3811874;3644123;3810596;3714622;3347313;3713723;3811006;3992568;3894653;3881515;3976569;3810627;3712557;3902536;3960367;3881610;3976581;3713663;3376102;3847375;3881455;3960686;3894498;3847323;3806436;3881596;3713686;3847197;3847412;3893955;3894400;3881478;3976546;3847286;3881490;3347336;3999174;3713752;3715254;3197227;3976517;3713746;3847234;3575971
TRIAMCINOLONE	3158457;3221954;3055875;3184130
TRIAMTERENE	3185135;3285049
TRIHEXYPHENIDYLE	3343284;3174723;3243074;3006693;3189593;3174717;3006687
TRIMETHOPRIME	5544348;3001069;3219704;3130536;3491754
TRIMIPRAMINE	3102250;3102296;3102267
TRINITRINE	3407512;3589921;3430706;3268269;3374238;3569775;3374304;3283033;3395654;3589884;3324861;3476708;3569769;3589909;3108301;3324884;3374267;3293698;3380730;3283056;3380724;3765370;3295869;3295881
TRIPROLIDINE	3556293
TROMETAMOL	4900350;3737439;3942352;3328238;4900982;3988905;3320923;3942369;3946350;4900686;3941826;3988934;3942381
TROPATEPINE	3316910;3140500;5748967;3175616
TROSPIUM	3516158
ULIPRISTAL	3945037
URAPIDIL	3609322;3609351;3304775;3306107;3304752;3609339;3723733;3609316
VALACICLOVIR	3955975;3860358;3860329;4987888;3876448;3876514;3956532;3946278;3842308;3841817;3876460;3580297;3842277;3897640;3470338;3842188;3876566;3932460;3960491;3932483;3876537;4946027;3980915;3980890;3522420;3974493;3842018;3876603;3841792;3974464;3841852;3842136;4987859;3897634;3956561;3417083;3960433;3988437;4987813;3842159;3988466;3954680;3841958;3897522;3980921;3960462;3954705;4946056;3932394;3384449;3932520;3956503;4946085;3954935;3841970;3954958;3954993;3932448;3949271;3960858;3932419;3960835
VALGANCICLOVIR	3867337;3601361
VALPROMIDE	3207061
VALSARTAN	4931178;4931190;4175417;3631072;3992249;3713901;4175446;3842662;4931149;3790327;3815524;4175529;4932746;4910638;4178953;4195259;3973364;3963704;4191882;2161807;4971108;3973335;2240748;3991735;3842751;3994952;3468287;4931126;3781759;3992284;4932278;4184764;3468407;2183306;4195207;4971491;4910704;2183217;4191876;2240754;4916256;4155863;2240719;2183281;4184824;3815464;3960108;4910667;4916345;4184853;4184787;3994917;3569060;4156012;3790646;4189796;4189773;4915802;3973855;4971350;2240725;3790675;3963615;4932806;4179013;2183246;3815702;4981963;4171589;4931221;3815553;4910609;3973714;3781819;3991907;4914748;3468318;4175506;3815665;4195408;4910549;4156058;4933237;3713858;4189804;4179214;4925746;4171566;3992143;3815731;3815435;3963897;2161753;4931244;3815406;4915736;3781831;4189810;4910578;2161954;3815582;3790600;4926220;4189827;4971315;4933303;4189767;4928897;3973275;3960054;3848989;4981934;3815636;3715188;4171572;4175481;4928816;3991853;2183358;4171543;2240694;3790379;4928822;3468488;4925864;3973306;4156331;3992108;3468459;3991770;4971143;4932203;2183335;4926125;3569025;4928963;4195302;4195348;3845790;4175469;3960338;4915216;4926094;3846080;3990724;3781771;3850029;4971723;3815777;3960290;3815493;4179088;3714929;4928957;3973803;3713953;3990747;2161919;4191913;4179125;4156147;4982081;4925835;3790416;4179160;4915280;4156294;3713864;3790451;4982052;3790706;4191936;3995012;3973660;3994343;3990629;4925700;3994981;3963986;3790480;3990664;4155917;4156199;3960232;4171603;4191698;3468376;3960189;4171595;4926266;4925999;2162126;4926409;4184729;2221449;4184741;2162072;4982129;4925953;3790735;4195443;3994314;3990799;4982098;4928880;3781802;4926378;3781788;3963093;3963130;3790528;3715165;4191706;3790563
VARDENAFIL	3618367;4941254;4996031;3618321;3618373;3618396;3618284;3618338
VENLAFAXINE	3884152;3853789;3466182;3875762;3908160;3872858;3853536;3877519;3820318;3465567;3820264;3881018;3881194;3882348;3875644;3742937;3913178;4168541;3742995;3878341;4168742;3872781;3373641;3373606;3853766;3884258;3469335;3872189;3876230;3819901;3819953;3875710;3906445;3913250;3465633;3912693;3465679;3469275;3872249;4985263;3881248;3908220;3894854;3881308;3912575;3908119;3876187;3872580
VERAPAMIL	3723532;3773317;3713686;3614435;3547791;3712557;3286741;3356039;3739059;3538639;3714042;3355979;3766808;3464881;3443614;3614441;3575971;3688333;3713663;3715248;3464869;3731201;3426372;3739289;3054580;3565286;3309146
VILDAGLIPTINE	3819516;3827705;3832215
VINCAMINE	3198505
VINORELBINE	3659484;3659490
VIRUS DE LA VARICELLE	3687641;3627722
VIRUS DES OREILLONS	3513757;3513734;3367362;3732821
VIRUS ROUGEOLEUX	3732821;3367362;3513734;3513757;3092675
VIRUS RUBEOLEUX	3367362;3513734;3183283;3513757
VIRUS VARICELLE-ZONA	3687641;3627722
VITAMINE A	3173959;3337154;3571861;3571855;3658496;3337148;3557223;3565719;3565317;3224792;3110870;3051914;3771488;3000064
WARFARINE	3569309;3026454
XIPAMIDE	3658929;3658941
YOHIMBINE	3537309;3115442;3537315
ZIDOVUDINE	3634159;3407601;3388424;3388045;3388051;3466271;3610928
ZINC	3540168;3556525;3698811;3698805;3102586;3005601;3476832;3237240;3476849;3230077;3637755;3928079;3928122;3928091;3754780;3570904;3571861;3075263;3570896;3405134;3678978;3405140;3336019;3571855;3527794;3678955;3075240;3075257;3335422;3705445;3306857;3346153;3352478;3279675;3279623;3523773
ZOFENOPRIL	3741978;3742127;3669028;3506390;4195118;3742009;3741984;3669011;4195093;3741990
ZOLMITRIPTAN	2179078;4975046;3753929;4975017;3753935;4172034;4975365;3533636;4975307;3753332;3445398;4172005;2197449;3921367;2197478;3753993;3753326;2198259;2179090;2198265;3544309;3533665;3919169;3533642;3919181;3753987;4924729;2219889;4924712;2218335;2218341;3919330;3919212;4975342;2179003;4975282;3920994;2179026;2219872;4975187;4172092;4975230;4975193;4975247;4172117
ZOLPIDEM	3939019;3645134;3621599;3638890;3661759;3609977;3671309;3610271;3602604;3610302;3609960;3645447;3645683;3610006;5655378;3390361;5655384;3645045;3645051;3602596;3645542;3645571;3619125;3674928;3465857;3671284;3674934;3479724
ZONISAMIDE	3692033;3659426;3659455;4950023
ZOPICLONE	3548247;3677269;3812276;3802094;3658384;3558926;3529853;3488746;3898007;3284989;3474856;3528629;3488700;3528635;3897999;3524749;3528575;3605258;3605241;3614518;3614501
ZUCLOPENTHIXOL	3294806;3695439;3294798;3695416
